epoch,accuracy
0,0.007630
500,0.152356
1000,0.524041
1500,0.606507
2000,0.641596
2500,0.667774
3000,0.693397
3500,0.704740
4000,0.724144
4500,0.717829
5000,0.740342
5500,0.754199
6000,0.762473
6500,0.768507
7000,0.773315
7500,0.775932
8000,0.786199
8500,0.793719
9000,0.797774
9500,0.801397
10000,0.804568
10500,0.804048
11000,0.812500
11500,0.814452
12000,0.815425
12500,0.819973
13000,0.821281
13500,0.821952
14000,0.829000
14500,0.831658
15000,0.836055
15500,0.834993
16000,0.841432
16500,0.842918
17000,0.842205
17500,0.842110
18000,0.847267
18500,0.847123
19000,0.851986
19500,0.854514
20000,0.853288
20500,0.858322
21000,0.861712
21500,0.862836
22000,0.860336
22500,0.863829
23000,0.864267
23500,0.869500
24000,0.871014
24500,0.869397
25000,0.874082
25500,0.870384
26000,0.875692
26500,0.882774
27000,0.881568
27500,0.885130
28000,0.882993
28500,0.885404
29000,0.886110
29500,0.893945
30000,0.889500
